      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;0   ;    ;    ;                        ;EconomicaIngresos                                                                                                                                                                                       ;EconomicaIngresos                                                                                                                                                                                       ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;0   ;    ;    ;                        ;EconomicaGastos                                                                                                                                                                                         ;EconomicaGastos                                                                                                                                                                                         ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;    ;    ;                        ;ImpuestosDirectos                                                                                                                                                                                       ;ImpuestosDirectos                                                                                                                                                                                       ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;    ;    ;                        ;GastosDePersonal                                                                                                                                                                                        ;GastosDePersonal                                                                                                                                                                                        ;1828407,41;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;    ;                        ;ImpuestoSobreLaRenta                                                                                                                                                                                    ;ImpuestoSobreLaRenta                                                                                                                                                                                    ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;    ;                        ;OrganosDeGobiernoYPersonalDirectivo                                                                                                                                                                     ;OrganosDeGobiernoYPersonalDirectivo                                                                                                                                                                     ;     57000;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;0   ;                        ;RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno                                                                                                                             ;RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno                                                                                                                             ;     57000;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;0   ;                        ;ImpuestosSobreLaRentaDeLasPersonasFisicas                                                                                                                                                               ;ImpuestosSobreLaRentaDeLasPersonasFisicas                                                                                                                                                               ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;0   ;00                      ;OrganosDeGobiernoYPersonalDirectivo RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno RetribucionesBasicas                                                                    ;OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_RetribucionesBasicas                                                                    ;     57000;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;0   ;01                      ;OrganosDeGobiernoYPersonalDirectivo RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno OtrasRemuneraciones                                                                     ;OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_OtrasRemuneraciones                                                                     ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;1   ;                        ;ImpuestoSobreSociedades                                                                                                                                                                                 ;ImpuestoSobreSociedades                                                                                                                                                                                 ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;1   ;                        ;RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo                                                                                                                                            ;RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo                                                                                                                                            ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;1   ;00                      ;OrganosDeGobiernoYPersonalDirectivo RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo RetribucionesBasicas                                                                                   ;OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_RetribucionesBasicas                                                                                   ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;1   ;01                      ;OrganosDeGobiernoYPersonalDirectivo RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo OtrasRemuneraciones                                                                                    ;OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_OtrasRemuneraciones                                                                                    ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;2   ;                        ;ImpuestoSobreLaRentaDeNoResidentes                                                                                                                                                                      ;ImpuestoSobreLaRentaDeNoResidentes                                                                                                                                                                      ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;7   ;                        ;OrganosDeGobiernoYPersonalDirectivo ContribucionesAPlanesYFondosDePensiones                                                                                                                             ;OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones                                                                                                                             ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;7   ;00                      ;GastosDePersonal OrganosDeGobiernoYPersonalDirectivo ContribucionesAPlanesYFondosDePensiones DeLosMiembrosDeLosOrganosDeGobierno                                                                        ;GastosDePersonal_OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones_DeLosMiembrosDeLosOrganosDeGobierno                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;0   ;7   ;01                      ;GastosDePersonal OrganosDeGobiernoYPersonalDirectivo ContribucionesAPlanesYFondosDePensiones DelPersonalDirectivo                                                                                       ;GastosDePersonal_OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones_DelPersonalDirectivo                                                                                       ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;    ;                        ;ImpuestosSobreElCapital                                                                                                                                                                                 ;ImpuestosSobreElCapital                                                                                                                                                                                 ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;    ;                        ;PersonalEventual                                                                                                                                                                                        ;PersonalEventual                                                                                                                                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;0   ;                        ;RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual                                                                                                                                              ;RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual                                                                                                                                              ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;0   ;                        ;ImpuestoSobreSucesionesYDonaciones                                                                                                                                                                      ;ImpuestoSobreSucesionesYDonaciones                                                                                                                                                                      ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;0   ;00                      ;PersonalEventual RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual RetribucionesBasicas                                                                                                        ;PersonalEventual_RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual_RetribucionesBasicas                                                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;0   ;01                      ;PersonalEventual RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual RetribucionesComplementarias                                                                                                ;PersonalEventual_RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual_RetribucionesComplementarias                                                                                                ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;0   ;02                      ;PersonalEventual RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual OtrasRemuneraciones                                                                                                         ;PersonalEventual_RetribucionesBasicasYOtrasRemuneracionesDePersonalEventual_OtrasRemuneraciones                                                                                                         ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;1   ;                        ;ImpuestoSobrePatrimonio                                                                                                                                                                                 ;ImpuestoSobrePatrimonio                                                                                                                                                                                 ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;2   ;                        ;ImpuestoSobreBienesInmueblesBienesInmublesDeNaturalezaRustica                                                                                                                                           ;ImpuestoSobreBienesInmueblesBienesInmublesDeNaturalezaRustica                                                                                                                                           ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;3   ;                        ;ImpuestoSobreBienesInmueblesBienesInmueblesDeNaturalezaUrbana                                                                                                                                           ;ImpuestoSobreBienesInmueblesBienesInmueblesDeNaturalezaUrbana                                                                                                                                           ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;4   ;                        ;ImpuestoSobreBienesInmueblesBienesInmueblesDeCaracteristicasEspeciales                                                                                                                                  ;ImpuestoSobreBienesInmueblesBienesInmueblesDeCaracteristicasEspeciales                                                                                                                                  ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;5   ;                        ;ImpuestoSobreVehiculosDeTraccionMecanica                                                                                                                                                                ;ImpuestoSobreVehiculosDeTraccionMecanica                                                                                                                                                                ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;6   ;                        ;ImpuestoSobreIncrementoDelValorDeLosTerrenosDeNaturalezaUrbana                                                                                                                                          ;ImpuestoSobreIncrementoDelValorDeLosTerrenosDeNaturalezaUrbana                                                                                                                                          ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;7   ;                        ;PersonalEventual ContribucionesAPlanesYFondosDePensiones                                                                                                                                                ;PersonalEventual_ContribucionesAPlanesYFondosDePensiones                                                                                                                                                ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;1   ;7   ;                        ;ImpuestoSobreViviendasDesocupadas                                                                                                                                                                       ;ImpuestoSobreViviendasDesocupadas                                                                                                                                                                       ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;    ;                        ;PersonalFuncionario                                                                                                                                                                                     ;PersonalFuncionario                                                                                                                                                                                     ; 272260,24;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;                        ;PersonalFuncionario RetribucionesBasicas                                                                                                                                                                ;PersonalFuncionario_RetribucionesBasicas                                                                                                                                                                ; 133904,87;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;00                      ;PersonalFuncionario SueldosDelGrupoA1                                                                                                                                                                   ;PersonalFuncionario_SueldosDelGrupoA1                                                                                                                                                                   ;   13308,6;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;01                      ;PersonalFuncionario SueldosDelGrupoA2                                                                                                                                                                   ;PersonalFuncionario_SueldosDelGrupoA2                                                                                                                                                                   ;  23015,52;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;02                      ;PersonalFuncionario SueldosDelGrupoB                                                                                                                                                                    ;PersonalFuncionario_SueldosDelGrupoB                                                                                                                                                                    ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;03                      ;PersonalFuncionario SueldosDelGrupoC1                                                                                                                                                                   ;PersonalFuncionario_SueldosDelGrupoC1                                                                                                                                                                   ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;04                      ;PersonalFuncionario SueldosDelGrupoC2                                                                                                                                                                   ;PersonalFuncionario_SueldosDelGrupoC2                                                                                                                                                                   ;  48539,25;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;05                      ;PersonalFuncionario SueldosDelGrupoE                                                                                                                                                                    ;PersonalFuncionario_SueldosDelGrupoE                                                                                                                                                                    ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;06                      ;PersonalFuncionario Trienios                                                                                                                                                                            ;PersonalFuncionario_Trienios                                                                                                                                                                            ;  14929,58;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;0   ;09                      ;OtrasRetribucionesBasicas                                                                                                                                                                               ;OtrasRetribucionesBasicas                                                                                                                                                                               ;  34111,92;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;1   ;                        ;PersonalFuncionario RetribucionesComplementarias                                                                                                                                                        ;PersonalFuncionario_RetribucionesComplementarias                                                                                                                                                        ; 138355,37;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;1   ;00                      ;ComplementoDeDestino                                                                                                                                                                                    ;ComplementoDeDestino                                                                                                                                                                                    ;  51889,65;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;1   ;01                      ;ComplementoEspecifico                                                                                                                                                                                   ;ComplementoEspecifico                                                                                                                                                                                   ;  79687,44;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;1   ;03                      ;OtrosComplementos                                                                                                                                                                                       ;OtrosComplementos                                                                                                                                                                                       ;   6778,28;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;2   ;                        ;PersonalFuncionario RetribucionesEnEspecie                                                                                                                                                              ;PersonalFuncionario_RetribucionesEnEspecie                                                                                                                                                              ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;                        ;RetribucionesDeFuncionariosEnPracticas                                                                                                                                                                  ;RetribucionesDeFuncionariosEnPracticas                                                                                                                                                                  ;         0;         0;         0;         0
