EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2021;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2676878,4
2021;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;354112,22
2021;01010;1111;100005;91002;Trienios;60835,8
2021;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;90120
2021;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;86756,88
2021;01010;1111;110005;91002;Trienios de Pers. Eventual de Gabinete;8114,04
2021;01010;1111;110006;91002;Pagas extraordinarias Pers. Eventual de Gabinete;30831,82
2021;01010;1111;120000;91002;Sueldos de Personal Funcionario;1667102,76
2021;01010;1111;120005;91002;Trienios de Personal Funcionario;726086,16
2021;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;649984,66
2021;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;799418,28
2021;01010;1111;121001;91002;Complemento específico de Personal Funcionario;939730,29
2021;01010;1111;122002;91002;Otras retribuciones en especie;110598,6
2021;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;119610,72
2021;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;33669,72
2021;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;39515,88
2021;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;100189,56
2021;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;14369,4
2021;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;19769,46
2021;01010;1111;150000;91002;Productividad fija de Funcionarios;7995,91
2021;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;24871,27
2021;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;993,23
2021;01010;1111;160000;91002;Seguridad social;1960507,7
2021;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;5000
2021;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;13000
2021;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;500
2021;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;500
2021;01010;1111;165000;91002;Fondo de Acción Social;109655,06
2021;01010;1111;203000;91002;Arrendamientos maquinaria, instalación y utillaje;1000
2021;01010;1111;204000;91002;Arrendamientos de material de transporte;18150
2021;01010;1111;206000;91002;Arrendamientos de equipos procesos de información;211732,68
2021;01010;1111;212000;91002;Rep. y conservación edificios y otras construcc.;75000
