EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2014;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2.449.891,22
2014;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;263.598,86
2014;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;145.184,76
2014;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;167.792,38
2014;01010;1111;120000;91002;Sueldos de Personal Funcionario;1.477.263,36
2014;01010;1111;120005;91002;Trienios de Personal Funcionario;604.306,38
2014;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;545.139,60
2014;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;668.655,48
2014;01010;1111;121001;91002;Complemento específico de Personal Funcionario;596.335,20
2014;01010;1111;122002;91002;Otras retribuciones en especie;125.000,00
2014;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;96.070,80
2014;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;31.418,94
2014;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;28.266,58
2014;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;56.025,60
2014;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;13.241,28
2014;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;13.593,22
2014;01010;1111;150000;91002;Productividad fija de Funcionarios;219.616,80
2014;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;18.050,00
2014;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;950,00
2014;01010;1111;160000;91002;Seguridad social;1.464.262,42
2014;01010;1111;160009;91002;Otras cuotas sociales;2.597,56
2014;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;10.000,00
2014;01010;1111;161001;91002;Economatos y comedores. Funcionarios y no Laboral;61.750,00
2014;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;16.000,00
2014;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;285,00
2014;01010;1111;162001;91002;Economatos y comedores de Personal Laboral;1.140,00
2014;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;114,00
2014;01010;1111;165000;91002;Fondo de Acción Social;103.829,24
2014;01010;1111;203000;91002;Arrendamientos maquinaria, instalación y utillaje;2.000,00
2014;01010;1111;206000;91002;Arrendamientos de equipos procesos de información;234.459,53
2014;01010;1111;212000;91002;Rep. y conservación edificios y otras construcc.;150.000,00
2014;01010;1111;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;100.000,00
2014;01010;1111;214000;91002;Reparación y conservación material de transporte;8.000,00
2014;01010;1111;215000;91002;Reparación y conservación de mobiliario y enseres;15.000,00
2014;01010;1111;216000;91002;Rep. y conserv. equipos procesos de información;104.500,00
2014;01010;1111;220000;91002;Ordinario no inventariable;20.000,00
2014;01010;1111;220001;91002;Mobiliario y enseres;10.000,00
2014;01010;1111;220002;91002;Prensa, revistas y publicaciones periódicas;138.910,00
2014;01010;1111;220003;91002;Libros y otras publicaciones;112.410,00
2014;01010;1111;220004;91002;Material informático;15.000,00
2014;01010;1111;221000;91002;Energía eléctrica;350.000,00
2014;01010;1111;221001;91002;Agua;1.000,00
2014;01010;1111;221003;91002;Combustibles;10.000,00
2014;01010;1111;221004;91002;Vestuario;20.000,00
2014;01010;1111;221009;91002;Otros suministros;40.000,00
2014;01010;1111;222000;91002;Telefónicas;230.808,52
2014;01010;1111;222001;91002;Postales;15.000,00
2014;01010;1111;222002;91002;Telegráficas;600,00
2014;01010;1111;223000;91002;Transporte;102.000,00
2014;01010;1111;224001;91002;Primas de vehículos;6.000,00
2014;01010;1111;224002;91002;Primas de otro inmovilizado;16.000,00
2014;01010;1111;225000;91002;Tributos locales;5.500,00
2014;01010;1111;226001;91002;Atenciones protocolarias y representativas;102.400,00
2014;01010;1111;226002;91002;Gastos de divulgación y promoción;282.000,00
2014;01010;1111;226005;91002;Reuniones y conferencias;50.000,00
2014;01010;1111;226009;91002;Otros gastos diversos;132.000,00
2014;01010;1111;227000;91002;Limpieza y aseo;323.390,11
2014;01010;1111;227001;91002;Seguridad;660.933,72
2014;01010;1111;227003;91002;Postales;8.000,00
2014;01010;1111;227004;91002;Custodia, depósito y almacenaje;7.500,00
